CZ ,Name_of_CZ,Census_2000_population,State_Abbrev.,State,Urban_Areas,p25_coef,p25_se,p25_se_boot
11600,Detroit,5327827,MI,Michigan,1,-0.092,0.081,0.073
11700,Lansing,447728,MI,Michigan,1,0.003,0.223,0.226
11800,Mount Pleasant,136888,MI,Michigan,0,0.038,0.340,0.337
11900,Saginaw,540707,MI,Michigan,1,0.237,0.209,0.209
12001,Big Rapids,120045,MI,Michigan,0,0.032,0.336,0.284
12002,Ludington,52801,MI,Michigan,0,-0.650,0.488,0.438
12100,Kalamazoo,509606,MI,Michigan,1,0.011,0.203,0.181
12200,Grand Rapids,1286045,MI,Michigan,1,0.024,0.155,0.144
12301,Traverse City,154452,MI,Michigan,0,-0.243,0.366,0.381
12302,Petoskey,83975,MI,Michigan,0,-0.281,0.468,0.430
12401,Alpena,84783,MI,Michigan,0,-0.285,0.432,0.455
12402,Grayling charter,104421,MI,Michigan,0,0.198,0.309,0.311
12501,Dayton,1179009,OH,Ohio,1,0.098,0.152,0.161
12502,Washington Court House,109851,OH,Ohio,0,-0.137,0.309,0.301
12600,Wayne,104034,IN,Indiana,1,-0.073,0.461,0.499
12701,Cincinnati,1954800,OH,Ohio,1,0.030,0.130,0.142
12702,Maysville,52963,KY,Kentucky,1,0.928,0.560,0.508
12800,Washington,134026,IN,Indiana,1,-0.790,0.319,0.283
12901,Lexington-Fayette,525970,KY,Kentucky,1,0.458,0.236,0.285
12902,Mount Sterling,40195,KY,Kentucky,0,0.898,0.600,0.559
12903,Danville,86667,KY,Kentucky,0,0.762,0.431,0.473
13000,Elizabethtown,176597,KY,Kentucky,1,0.026,0.323,0.320
13101,Louisville,1100767,KY,Kentucky,1,0.120,0.175,0.204
13102,Madison,49985,IN,Indiana,1,0.413,0.499,0.478
13103,Bardstown,66605,KY,Kentucky,0,0.151,0.429,0.439
13200,Owensboro,177640,KY,Kentucky,1,0.090,0.440,0.409
13300,Findlay,246623,OH,Ohio,0,0.645,0.299,0.274
13400,Lima,260393,OH,Ohio,1,0.673,0.333,0.368
13501,Toledo,834343,OH,Ohio,1,0.087,0.191,0.189
13502,Defiance,98981,OH,Ohio,0,0.494,0.511,0.490
13600,South Bend,657906,IN,Indiana,1,-0.250,0.178,0.173
13700,Concord,372184,IN,Indiana,1,0.212,0.229,0.224
